Feld;Distanz;Spad;Target
18;3;225361;4
19;0;220504;4
20;-1;230592;4
21;0;215594;4
22;8;123470;5
23;14;49616;5
24;9;144617;5
25;9;149117;5
26;7;150513;5
27;5;156293;5
28;3;173412;4
29;6;177360;5
30;7;128947;5
31;14;53646;5
32;12;107521;5
33;11;113847;5
34;13;114440;5
35;11;111304;5
36;11;114623;5
37;10;115808;5
38;11;103779;5
39;15;53283;5
40;19;59693;5
41;18;60754;5
42;19;62548;5
43;17;66716;5
44;18;64267;5
45;21;63638;5
46;21;64144;5
47;20;39393;5
48;24;37353;5
49;23;41287;5
50;21;41335;5
51;21;45676;5
52;22;44956;5
53;20;42096;5
54;23;41231;5
55;23;29088;5
56;16;18715;5
57;17;19713;5
58;18;20587;5
59;17;21573;5
60;16;20291;5
61;16;17491;5
62;17;15809;5
63;15;16042;5

Feld;Distanz;Spad;Target
0;-4;476832;4
1;-7;386932;4
2;-8;362299;4
3;-8;340062;4
4;-7;323162;4
5;6;190727;5
6;12;75266;5
7;12;47027;5
8;0;285120;4
9;-3;316999;4
10;0;286571;4
11;0;272561;4
12;0;276177;4
13;4;221672;5
14;12;106421;5
15;14;44606;5
16;4;213913;4
17;5;218278;5
18;5;219803;5
19;3;215833;4
20;1;225816;4
21;3;210300;4
22;11;120619;5
23;17;47805;5
24;11;141486;5
25;11;145945;5
26;10;146830;5
27;8;152823;5
28;6;169239;5
29;9;172516;5
30;10;124799;5
31;17;51876;5
32;14;104478;5
33;14;110865;5
34;16;111401;5
35;14;108038;5
36;13;112679;5
37;13;112689;5
38;13;100612;5
39;19;51998;5
40;22;57821;5
41;21;59118;5
42;20;60766;5
43;19;65102;5
44;20;62644;5
45;22;61559;5
46;23;61608;5
47;22;38440;5
48;26;36219;5
49;26;39445;5
50;22;40087;5
51;23;44325;5
52;24;43716;5
53;25;40969;5
54;25;40234;5
55;26;28158;5
56;20;18325;5
57;21;19004;5
58;22;19731;5
59;20;21198;5
60;19;19701;5
61;18;17152;5
62;19;15018;5
63;17;15616;5

Feld;Distanz;Spad;Target
0;-4;476671;4
1;-8;387954;4
2;-9;363649;4
3;-9;341113;4
4;-8;322082;4
5;5;191220;5
6;10;76148;5
7;12;47746;5
8;0;285671;4
9;-4;316671;4
10;-1;285939;4
11;-1;273124;4
12;0;276566;4
13;3;221075;4
14;11;106796;5
15;14;44844;5
16;3;215753;4
17;4;219489;5
18;4;221497;5
19;2;215427;4
20;1;225509;4
21;2;210471;4
22;10;119764;5
23;16;47820;5
24;10;141061;5
25;10;146917;5
26;9;146724;5
27;7;153328;5
28;5;169709;5
29;8;171988;5
30;9;124957;5
31;16;52089;5
32;14;105229;5
33;13;110344;5
34;15;111821;5
35;13;108809;5
36;12;112299;5
37;12;113744;5
38;13;100996;5
39;16;52047;5
40;22;57811;5
41;21;59387;5
42;19;60420;5
43;18;65137;5
44;19;62579;5
45;22;61906;5
46;22;62251;5
47;21;38517;5
48;25;36645;5
49;25;40050;5
50;22;39957;5
51;22;44487;5
52;23;43698;5
53;22;41169;5
54;24;40393;5
55;25;28021;5
56;21;18182;5
57;19;18965;5
58;23;19946;5
59;20;20772;5
60;17;19625;5
61;18;16987;5
62;18;15032;5
63;17;15769;5

Feld;Distanz;Spad;Target
0;-6;485747;4
1;-10;394546;4
2;-11;369217;4
3;-11;346401;4
4;-10;329289;4
5;3;195364;4
6;10;77459;5
7;10;48559;5
8;-3;290351;4
9;-6;322776;4
10;-3;292293;4
11;-4;277976;4
12;-3;281406;4
13;1;226718;4
14;9;109538;5
15;12;45918;5
16;1;220286;4
17;3;223982;4
18;2;225960;4
19;0;220630;4
20;-1;229856;4
21;0;215817;4
22;8;123451;5
23;15;49153;5
24;9;144768;5
25;8;150078;5
26;7;150796;5
27;5;157055;5
28;3;173353;4
29;6;177060;5
30;7;128765;5
31;14;53517;5
32;13;107766;5
33;12;113415;5
34;13;114336;5
35;12;110841;5
36;10;115345;5
37;10;116139;5
38;11;103749;5
39;13;53824;5
40;19;59581;5
41;19;61429;5
42;18;62648;5
43;17;66716;5
44;18;64313;5
45;19;63225;5
46;19;64136;5
47;20;39302;5
48;24;37646;5
49;24;41246;5
50;21;41627;5
51;21;45507;5
52;22;44682;5
53;21;41792;5
54;23;41143;5
55;22;28519;5
56;18;18891;5
57;18;19674;5
58;20;20553;5
59;18;21611;5
60;16;20387;5
61;15;17605;5
62;18;15259;5
63;16;16197;5

Feld;Distanz;Spad;Target
0;-7;486316;4
1;-10;395273;4
2;-12;370260;4
3;-11;347384;4
4;-10;329703;4
5;2;196172;4
6;7;78219;5
7;10;48801;5
8;-3;292094;4
9;-6;322798;4
10;-3;291106;4
11;-4;278950;4
12;-3;282705;4
13;0;226271;4
14;10;109468;5
15;12;46313;5
16;0;220645;4
17;2;224257;4
18;2;226389;4
19;0;221326;4
20;-1;230333;4
21;0;215708;4
22;8;123202;5
23;15;49310;5
24;8;145386;5
25;8;150986;5
26;7;151027;5
27;4;156544;5
28;2;174654;4
29;5;176823;5
30;7;128259;5
31;13;54080;5
32;12;107725;5
33;11;113992;5
34;13;114519;5
35;11;111522;5
36;9;114914;5
37;9;116083;5
38;10;103669;5
39;14;53921;5
40;18;59942;5
41;17;60565;5
42;17;62116;5
43;16;66883;5
44;17;64693;5
45;20;63635;5
46;20;63803;5
47;19;39327;5
48;22;37553;5
49;23;41239;5
50;19;41308;5
51;20;45743;5
52;21;45144;5
53;21;42349;5
54;22;41545;5
55;22;28731;5
56;18;18839;5
57;16;19775;5
58;19;20369;5
59;17;21474;5
60;16;20117;5
61;13;17491;4
62;15;15455;5
63;14;16271;4
